Scan Date:,2025-05-24 15:57:41Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
213,483.001727063996,48229,482.29
214,483.086295094955,46954,469.54
215,483.170862931273,43820,438.2
216,483.255430573193,42589,425.89
217,483.339998020963,45173,451.73
218,483.424565274826,45891,458.91
219,483.509132335028,43238,432.38
220,483.593699201814,41362,413.62
221,483.678265875429,44056,440.56
222,483.762832356118,44174,441.74
223,483.847398644127,41391,413.91
224,483.9319647397,43589,435.89
225,484.016530643083,57049,570.49
226,484.101096354521,58913,589.13
227,484.185661874258,51260,512.6
228,484.270227202541,46090,460.9
229,484.354792339614,42975,429.75
230,484.439357285722,41815,418.15
231,484.523922041111,44520,445.2
232,484.608486606025,48408,484.08
233,484.69305098071,47382,473.82
234,484.777615165411,46464,464.64
235,484.862179160373,49048,490.48
236,484.946742965841,47359,473.59
237,485.03130658206,46791,467.91
238,485.115870009276,49677,496.77
239,485.200433247733,47965,479.65
240,485.284996297677,44559,445.59
241,485.369559159353,71638,716.38
242,485.454121833005,82035,820.35
243,485.53868431888,66175,661.75
244,485.623246617222,55809,558.09
245,485.707808728276,49683,496.83
246,485.792370652288,44696,446.96
247,485.876932389502,45490,454.9
248,485.961493940164,45141,451.41
249,486.046055304519,42410,424.1
250,486.130616482813,41867,418.67
251,486.215177475289,41781,417.81
252,486.299738282193,48378,483.78
253,486.384298903771,49786,497.86
254,486.468859340268,45203,452.03
255,486.553419591928,42215,422.15
256,486.637979658997,41328,413.28
257,486.722539541719,40588,405.88
258,486.807099240341,43173,431.73
259,486.891658755108,43847,438.47
260,486.976218086263,41260,412.6
261,487.060777234053,39677,396.77
262,487.145336198723,38957,389.57
263,487.229894980517,38713,387.13
264,487.314453579682,39442,394.42
265,487.399011996461,39746,397.46
266,487.483570231101,39338,393.38
267,487.568128283845,39231,392.31
268,487.652686154941,38680,386.8
269,487.737243844632,38609,386.09
270,487.821801353163,43772,437.72
271,487.906358680781,44888,448.88
272,487.990915827729,42132,421.32
273,488.075472794253,40850,408.5
274,488.160029580599,45467,454.67
275,488.244586187011,46350,463.5
276,488.329142613735,43501,435.01
277,488.413698861015,49297,492.97
278,488.498254929097,50421,504.21
279,488.582810818225,50021,500.21
280,488.667366528646,49867,498.67
281,488.751922060605,46093,460.93
282,488.836477414345,44588,445.88
283,488.921032590113,43805,438.05
284,489.005587588153,44413,444.13
285,489.090142408711,76635,766.35
286,489.174697052032,87434,874.34
287,489.259251518361,73331,733.31
288,489.343805807943,60983,609.83
289,489.428359921024,50969,509.69
290,489.512913857847,45176,451.76
291,489.597467618659,42546,425.46
292,489.682021203705,55057,550.57
293,489.76657461323,58078,580.78
294,489.851127847479,49580,495.8
295,489.935680906696,46606,466.06
296,490.020233791128,44490,444.9
297,490.104786501019,41746,417.46
298,490.189339036615,44610,446.1
299,490.27389139816,45154,451.54
300,490.3584435859,42384,423.84
301,490.44299560008,40778,407.78
302,490.527547440945,39767,397.67
303,490.612099108739,38973,389.73
304,490.69665060371,38687,386.87
305,490.7812019261,38860,388.6
306,490.865753076156,42669,426.69
307,490.950304054123,43898,438.98
308,491.034854860246,41883,418.83
309,491.119405494769,40523,405.23
310,491.203955957939,39816,398.16
311,491.288506249999,39824,398.24
312,491.373056371197,39486,394.86
313,491.457606321775,43406,434.06
314,491.54215610198,45652,456.52
315,491.626705712057,43336,433.36
316,491.711255152251,40945,409.45
317,491.795804422807,39486,394.86
318,491.88035352397,38788,387.88
319,491.964902455985,38815,388.15
320,492.049451219098,42850,428.5
321,492.133999813553,43814,438.14
322,492.218548239596,41511,415.11
323,492.303096497471,43768,437.68
324,492.387644587425,46955,469.55
325,492.472192509702,49317,493.17
326,492.556740264546,57362,573.62
327,492.641287852205,56066,560.66
328,492.725835272921,48262,482.62
329,492.810382526942,44769,447.69
330,492.894929614511,55123,551.23
331,492.979476535874,57042,570.42
332,493.064023291276,49414,494.14
333,493.148569880962,47420,474.2
334,493.233116305178,45373,453.73
335,493.317662564167,41936,419.36
336,493.402208658177,41036,410.36
337,493.486754587451,40202,402.02
338,493.571300352235,39148,391.48
339,493.655845952774,38698,386.98
340,493.740391389313,42574,425.74
341,493.824936662097,43458,434.58
342,493.909481771372,43988,439.88
343,493.994026717382,43394,433.94
344,494.078571500372,40941,409.41
345,494.163116120589,40021,400.21
346,494.247660578276,39808,398.08
347,494.33220487368,76471,764.71
348,494.416749007044,86595,865.95
349,494.501292978615,66755,667.55
350,494.585836788637,54711,547.11
351,494.670380437356,47950,479.5
352,494.754923925017,44627,446.27
353,494.839467251864,46728,467.28
354,494.924010418144,46132,461.32
355,495.0085534241,42918,429.18
356,495.093096269979,58768,587.68
357,495.177638956025,62463,624.63
358,495.262181482484,56059,560.59
359,495.3467238496,54310,543.1
360,495.431266057619,49668,496.68
361,495.515808106786,49275,492.75
362,495.600349997346,47894,478.94
363,495.684891729544,44382,443.82
364,495.769433303626,43859,438.59
365,495.853974719836,42443,424.43
366,495.938515978419,40255,402.55
367,496.023057079622,39355,393.55
368,496.107598023688,39129,391.29
369,496.192138810863,42934,429.34
370,496.276679441392,43660,436.6
371,496.361219915521,43328,433.28
372,496.445760233493,78262,782.62
373,496.530300395556,86734,867.34
374,496.614840401953,66760,667.6
375,496.69938025293,60906,609.06
376,496.783919948731,55984,559.84
377,496.868459489603,52735,527.35
378,496.95299887579,49257,492.57
379,497.037538107538,53202,532.02
380,497.12207718509,52823,528.23
381,497.206616108694,50791,507.91
382,497.291154878593,48532,485.32
383,497.375693495033,44694,446.94
384,497.460231958259,41928,419.28
385,497.544770268516,40407,404.07
386,497.629308426049,40366,403.66
387,497.713846431104,39747,397.47
388,497.798384283926,42834,428.34
389,497.882921984759,43622,436.22
390,497.967459533848,41626,416.26
391,498.05199693144,44505,445.05
392,498.136534177779,49297,492.97
393,498.22107127311,48002,480.02
394,498.305608217678,43888,438.88
395,498.390145011729,41614,416.14
396,498.474681655507,40329,403.29
397,498.559218149259,39944,399.44
398,498.643754493228,40059,400.59
399,498.72829068766,39539,395.39
400,498.8128267328,38683,386.83
401,498.897362628894,38554,385.54
402,498.981898376185,38759,387.59
403,499.066433974921,39154,391.54
404,499.150969425345,43376,433.76
405,499.235504727703,60795,607.95
406,499.32003988224,62788,627.88
407,499.404574889201,55886,558.86
408,499.489109748831,51538,515.38
409,499.573644461376,46207,462.07
410,499.65817902708,42702,427.02
411,499.742713446188,41271,412.71
412,499.827247718947,40304,403.04
413,499.9117818456,39520,395.2
414,499.996315826393,38775,387.75
415,500.080849661572,38400,384
416,500.165383351381,38709,387.09
417,500.249916896065,38920,389.2
418,500.33445029587,39189,391.89
419,500.41898355104,59902,599.02
420,500.503516661822,65692,656.92
421,500.588049628459,54345,543.45
422,500.672582451197,48571,485.71
423,500.757115130282,45171,451.71
424,500.841647665958,42524,425.24
425,500.92618005847,40706,407.06
426,501.010712308064,68312,683.12
427,501.095244414985,79306,793.06
428,501.179776379478,68593,685.93
429,501.264308201788,58484,584.84
430,501.34883988216,54315,543.15
431,501.433371420839,50208,502.08
432,501.517902818071,44939,449.39
433,501.6024340741,46672,466.72
434,501.686965189172,49265,492.65
435,501.771496163532,46752,467.52
436,501.856026997425,42873,428.73
437,501.940557691096,40565,405.65
438,502.02508824479,39295,392.95
439,502.109618658753,43119,431.19
440,502.194148933229,44213,442.13
441,502.278679068464,41729,417.29
442,502.363209064702,40504,405.04
443,502.44773892219,39597,395.97
444,502.532268641171,42634,426.34
445,502.616798221892,43946,439.46
446,502.701327664597,42545,425.45
447,502.785856969531,41209,412.09
448,502.87038613694,43764,437.64
449,502.954915167069,47745,477.45
450,503.039444060163,46055,460.55
451,503.123972816466,42796,427.96
452,503.208501436225,45364,453.64
453,503.293029919684,46025,460.25
454,503.377558267088,47367,473.67
455,503.462086478683,50755,507.55
456,503.546614554714,53343,533.43
457,503.631142495425,50285,502.85
458,503.715670301062,45261,452.61
459,503.800197971871,42029,420.29
460,503.884725508095,40257,402.57
461,503.969252909981,43149,431.49
462,504.053780177773,47524,475.24
463,504.138307311717,46676,466.76
464,504.222834312058,47288,472.88
465,504.307361179041,46948,469.48
466,504.39188791291,48083,480.83
467,504.476414513912,48930,489.3
468,504.560940982291,64403,644.03
469,504.645467318292,66218,662.18
470,504.729993522161,54268,542.68
471,504.814519594143,50960,509.6
472,504.899045534482,50989,509.89
473,504.983571343424,53195,531.95
474,505.068097021215,54347,543.47
475,505.152622568098,53571,535.71
476,505.23714798432,65939,659.39
477,505.321673270126,65468,654.68
478,505.40619842576,54265,542.65
479,505.490723451468,47785,477.85
480,505.575248347494,47333,473.33
481,505.659773114085,45824,458.24
482,505.744297751485,74106,741.06
483,505.828822259939,85114,851.14
484,505.913346639693,68312,683.12
485,505.997870890991,55919,559.19
486,506.082395014079,48567,485.67
487,506.166919009201,44422,444.22
488,506.251442876604,41781,417.81
489,506.335966616531,43642,436.42
490,506.420490229229,43722,437.22
491,506.505013714942,42053,420.53
492,506.589537073916,41347,413.47
493,506.674060306396,44022,440.22
494,506.758583412626,45033,450.33
495,506.843106392852,42865,428.65
496,506.927629247319,41121,411.21
497,507.012151976272,39856,398.56
498,507.096674579957,42992,429.92
499,507.181197058618,44997,449.97
500,507.2657194125,43419,434.19
501,507.350241641849,74131,741.31
502,507.43476374691,86172,861.72
503,507.519285727928,69464,694.64
504,507.603807585148,56369,563.69
505,507.688329318816,49206,492.06
506,507.772850929175,48612,486.12
507,507.857372416473,50641,506.41
508,507.941893780953,48149,481.49
509,508.02641502286,44524,445.24
510,508.110936142441,41985,419.85
511,508.195457139939,43782,437.82
512,508.279978015601,43715,437.15
513,508.364498769671,42010,420.1
514,508.449019402395,40789,407.89
515,508.533539914017,39643,396.43
516,508.618060304783,42472,424.72
517,508.702580574937,42820,428.2
518,508.787100724726,41046,410.46
519,508.871620754394,41880,418.8
520,508.956140664186,58217,582.17
521,509.040660454347,66743,667.43
522,509.125180125123,75605,756.05
523,509.209699676758,72416,724.16
524,509.294219109499,80342,803.42
525,509.378738423589,77855,778.55
526,509.463257619274,65462,654.62
527,509.5477766968,56704,567.04
528,509.632295656411,48602,486.02
529,509.716814498352,43955,439.55
530,509.801333222869,41212,412.12
531,509.885851830207,39680,396.8
532,509.97037032061,39462,394.62
533,510.054888694324,39009,390.09
534,510.139406951595,43304,433.04
535,510.223925092667,44445,444.45
536,510.308443117785,41841,418.41
537,510.392961027195,41061,410.61
538,510.477478821141,44153,441.53
539,510.56199649987,48026,480.26
540,510.646514063625,50793,507.93
541,510.731031512652,52824,528.24
542,510.815548847197,49656,496.56
543,510.900066067503,45534,455.34
544,510.984583173818,42896,428.96
545,511.069100166384,44703,447.03
546,511.153617045449,44744,447.44
547,511.238133811256,46068,460.68
548,511.322650464052,45424,454.24
549,511.407167004081,42333,423.33
550,511.491683431587,48552,485.52
551,511.576199746818,49520,495.2
552,511.660715950017,48516,485.16
553,511.745232041429,47109,471.09
554,511.829748021301,43354,433.54
555,511.914263889876,41364,413.64
556,511.9987796474,41463,414.63
557,512.083295294119,40806,408.06
558,512.167810830277,40212,402.12
559,512.252326256119,42814,428.14
560,512.336841571891,46483,464.83
561,512.421356777838,62499,624.99
562,512.505871874205,64371,643.71
563,512.590386861236,57771,577.71
564,512.674901739178,52325,523.25
565,512.759416508275,46659,466.59
566,512.843931168773,43305,433.05
567,512.928445720916,45058,450.58
568,513.01296016495,48621,486.21
569,513.097474501119,46939,469.39
570,513.18198872967,43692,436.92
571,513.266502850847,42105,421.05
572,513.351016864895,44885,448.85
573,513.435530772059,45056,450.56
574,513.520044572585,41964,419.64
575,513.604558266717,40306,403.06
576,513.689071854701,47424,474.24
577,513.773585336782,51620,516.2
578,513.858098713206,52042,520.42
579,513.942611984216,53160,531.6
580,514.027125150058,56644,566.44
581,514.111638210978,58210,582.1
582,514.196151167221,52902,529.02
583,514.280664019031,46556,465.56
584,514.365176766654,43216,432.16
585,514.449689410336,44543,445.43
586,514.53420195032,48208,482.08
587,514.618714386852,46822,468.22
588,514.703226720178,43145,431.45
589,514.787738950542,41039,410.39
590,514.87225107819,39770,397.7
591,514.956763103367,39120,391.2
592,515.041275026318,38564,385.64
593,515.125786847287,46780,467.8
594,515.210298566521,48993,489.93
595,515.294810184265,44435,444.35
596,515.379321700762,42252,422.52
597,515.463833116259,41330,413.3
598,515.548344431001,40303,403.03
599,515.632855645233,43515,435.15
600,515.7173667592,44164,441.64
601,515.801877773147,43617,436.17
602,515.886388687319,46162,461.62
603,515.970899501962,45115,451.15
604,516.05541021732,41947,419.47
605,516.139920833639,40197,401.97
606,516.224431351163,39578,395.78
607,516.308941770138,39470,394.7
608,516.39345209081,39039,390.39
609,516.477962313423,38580,385.8
610,516.562472438222,42015,420.15
611,516.646982465452,46750,467.5
612,516.731492395359,51739,517.39
613,516.816002228188,50752,507.52
614,516.900511964184,46104,461.04
615,516.985021603591,50363,503.63
616,517.069531146656,57695,576.95
617,517.154040593623,66168,661.68
